URL,Informative_Text
https://mollanbros.co.uk/fabric-bedframes,"Hama Ottoman Bed, Carlow Ottoman Bedframe - Beige, Carlow Ottoman Bedframe - Grey, Iris Bedframe, Louise Bedframe, Colorado Bedframe, Mabel Bedframe (Taupe), Mabel Bedframe (White), Lauren Ottoman Bed, Opulence Ottoman Bed"
https://mollanbros.co.uk/login?returnUrl=%2F,
https://mollanbros.co.uk/office-furniture,
https://mollanbros.co.uk/mirrored-bedframes,Jessica Bed
https://mollanbros.co.uk/sofabeds,"Aspen Sofabed, Memphis 3 Seater Sofabed, Memphis 2 Seater Sofabed, Roma Sofabed, Aimee 3 Seater Sofabed, Ella 3 Seater Sofabed, Ella 2 Seater Sofabed, Blenheim 2 Seater Sofabed, Blenheim Corner Sofabed, Boston Sofabed"
https://mollanbros.co.uk/4-seater-sofa,
https://mollanbros.co.uk/shipping-returns,
https://mollanbros.co.uk/benches,"Arianna Bench, Charlie Bench, Knightsbridge Bench, Salisbury Cross Leg Bench, Salisbury Large Bench, Ace Bench"
https://mollanbros.co.uk/mirrored-dressing-tables,"Jessica Bedroom Dressing Table (Large), Vanitti Diana Vanity desk with 8 Drawers, Vanitti Diana Vanity desk with 6 Drawers, Alice Vanity Desk, vanitti Eva 13 drawer dressing table"
https://mollanbros.co.uk/waterproof-mattresses,"Aquatex Waterproof Mattress, Coral Waterproof Mattress"
https://mollanbros.co.uk/mirrored-bedside-lockers,Jessica Bedside Table
https://mollanbros.co.uk/2-seater-sofa,
https://mollanbros.co.uk/customer/addresses,
https://mollanbros.co.uk/contact-info,
https://mollanbros.co.uk/chairs,"Ruby Chair, Orthopaedic Chair"
https://mollanbros.co.uk/nest-of-tables,"Salisbury Nest of Tables, Stow Natural Oak Nest Of Tables, Stow Painted Nest of Tables (Grey), Napoli Nest of Tables, Amelia Nest of Tables (Cream), Amelia Nest of Tables (Grey), Paris Oak Nest of tables x3, Paris Painted Nest Of Tables, Monaco Nest Of Tables"
https://mollanbros.co.uk/customer/info,
https://mollanbros.co.uk/bedside-lockers,
https://mollanbros.co.uk/search,
https://mollanbros.co.uk/bedframes,
https://mollanbros.co.uk/recentlyviewedproducts,
https://mollanbros.co.uk/bedsets,"Chloe Divan Bed Deal, Deluxe Set Deal, Regal Divan Set, Ultima Ottoman Bed Package Deal"
https://mollanbros.co.uk/kids-beds-bunks,"PLU101 Midsleeper, Space Bunk Bed, BEL30 Bunk Bed, Roxy Bunks, Jupiter Bunk Bed, Bronson Triple Sleeper, Deauville Bunk Bed"
https://mollanbros.co.uk/leather3,"Kenmare Swivel Chair & Foot Stool, Sloane Armchair (Power Reclining with Sensor), Nerano Chair (Electric Reclining), Nerano Chair (Fixed), Jefferson by Lazboy Chair (Static), Sophia Armchair, Sloane Armchair (Static), Jefferson by Lazboy Chair (Power Reclining), Kenzie Power Recliner Chair, Kenzie Power Recliner Chair + Head Tilt"
https://mollanbros.co.uk/dining-room,
https://mollanbros.co.uk/chest-of-drawers,
https://mollanbros.co.uk/cart,
https://mollanbros.co.uk/gloss-bedside-lockers,"Miami 2 Drawer Bedside Chest, Miami 3 Drawer Bedside Chest, Miami 4 Drawer Bedside Chest, Kristel Locker"
https://mollanbros.co.uk/fabric2,"Blenheim 3 Seater Suite, Duke 3 Seater, Paris 3 Seater by Lebus, Trent 3 Seater, Artemis 3 Seater, Fairmont 3 Seater, Memphis 3 Seater, Savannah 3 Seater, Lowry 3 Seater, Casey 3 Seater"
